Date,Description,Cardmember,Account #,Amount
01/04/2009,AMAZON.COM          AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,8.66
01/04/2009,AMAZON.COM          AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,12.49
01/04/2009,AMAZON.COM          AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,64.14
01/04/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,12.99
01/04/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,15.94
01/04/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,18.99
01/04/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,25.47
01/04/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,122.59
01/04/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,8.05
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-5.19
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-3.34
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-3.06
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.91
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.85
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.82
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.75
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.71
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.66
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.61
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.56
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.46
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.44
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.35
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.24
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.22
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.21
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.20
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-1.13
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-0.99
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-0.58
01/05/2009,5% OPEN Savings at BarnesandNoble.com,JOHN DOE,XXXX-XXXXXX-01011,-0.40
01/05/2009,AMAZON.COM          AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,10.79
01/05/2009,AMAZON.COM          AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,21.42
01/05/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,7.24
01/05/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,8.71
01/05/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,8.74
01/05/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,9.81
01/05/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,10.49
01/05/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,11.19
01/05/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,11.85
01/05/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,15.99
01/05/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,26.94
01/05/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,28.34
01/05/2009,AMZ*AMAZON PAYMENTS AMZN.COM/BILL       WA,JOHN DOE,XXXX-XXXXXX-01011,41.99
01/05/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,10.75
01/05/2009,BARNES&NOBLE COM    800-843-2665        NJ,JOHN DOE,XXXX-XXXXXX-01011,12.58
